client_id,client_segment,industry,agreed_terms
CLI-3874,SMB,Retail,Net-60
CLI-0328,mid-market,Logistics,Net-15
CLI-3143,Mid-Market,Textiles,Net-60
CLI-1957,Mid-Market,Manufacturing,Net-30
CLI-1753,Mid-Market,Retail,Net-60
CLI-0430,Mid-Market,Textiles,Net-15
CLI-4262,SMB,Textiles,Net-15
CLI-3050,Enterprise,Retail,Net-15
CLI-3270,Mid-Market,Retail,Net-15
CLI-3208,SMB,Retail,Net-60
CLI-3703,Mid-Market,Manufacturing,Net-60
CLI-3113,Mid-Market,IT Services,Net-60
CLI-4884,Enterprise,,
CLI-0639,Mid-Market,FMCG,Net-15
CLI-0610,Mid-Market,IT Services,
CLI-0233,Mid Market,Pharma,Net-60
CLI-3187,SMB,Retail,Net-60
CLI-0444,Mid-Market,Construction,Net-30
CLI-3818,SMB,Construction,Net-15
CLI-3093,Mid-Market,,15 days
CLI-3449,SMB,FMCG,Net-60
CLI-3569,smb,Pharma,Net-30
CLI-2731,Mid-Market,Pharma,Net-15
CLI-3229,Mid-Market,Textiles,Net-60
CLI-0354,Mid-Market,Retail,30 days
CLI-3992,SMB,Retail,Net-30
CLI-4337,Mid-Market,Retail,
CLI-3749,SMB,Pharma,Net-60
CLI-2352,Enterprise,,NET-60
CLI-4642,Mid-Market,Construction,Net-15
CLI-1767,Enterprise,Retail,Net-30
CLI-1256,Enterprise,Pharma,Net-60
CLI-3067,Enterprise,Pharma,Net-15
CLI-4604,SMB,Retail,Net-60
CLI-3706,Enterprise,Logistics,Net-15
CLI-0200,Mid-Market,Logistics,Net-60
CLI-1998,Enterprise,Construction,Net-30
CLI-3309,Mid-Market,Manufacturing,NET-60
CLI-4732,SMB,Textiles,Net-15
CLI-4080, SMB,IT Services,Net-30
CLI-4978,Enterprise,Retail,Net-60
CLI-1329,Mid-Market,IT Services,Net-15
CLI-3472,Mid-Market,Construction,Net-30
CLI-3108,Enterprise ,Retail,Net-60
CLI-0262,SMB,Retail,Net-15
CLI-0247,SMB,Pharma,Net-15
CLI-4611,Enterprise,Retail,Net-60
CLI-0719,Mid-Market,Manufacturing,Net-30
CLI-2574,Enterprise,IT Services,Net-15
CLI-1277,Mid-Market,Retail,30 days
CLI-4655,SMB,Construction,Net-15
CLI-1009,SMB,IT Services,15 days
CLI-4371,SMB,Textiles,Net-15
CLI-3847,SMB,Pharma,Net-15
CLI-4412,SMB,Manufacturing,Net-15
CLI-4405,Enterprise,Retail,Net-15
CLI-3477,Mid-Market,Construction,Net-30
CLI-0841,Mid-Market,Logistics,30 days
CLI-1214,Mid-Market,Pharma,Net-15
CLI-1829,Enterprise,Logistics,Net-60
CLI-4014,SMB,FMCG,Net-15
CLI-1238,Enterprise,Manufacturing,Net-15
CLI-3302,Enterprise,Retail,Net-30
CLI-2575,Mid-Market,Manufacturing,Net-60
CLI-4527,SMB,Textiles,
CLI-0545,Enterprise,Manufacturing,Net-60
CLI-4322,SMB,Textiles,Net-60
CLI-0319,SMB,FMCG,Net-60
CLI-1512,Enterprise,IT Services,Net-15
CLI-1035,SMB,Logistics,Net-30
CLI-2893,SMB,Manufacturing,Net-60
CLI-0998,SMB,Textiles,Net-60
CLI-2940,Mid-Market,Retail,Net-15
CLI-1130,Enterprise,Textiles,Net-30
CLI-3574,Enterprise,FMCG,Net-15
CLI-4851,SMB,FMCG,Net-60
CLI-2099,SMB,Manufacturing,Net-60
CLI-4957,SMB,Manufacturing,Net-30
CLI-2794,SMB,Textiles,60 days
CLI-1529,Enterprise,Textiles,Net-15
CLI-4145,Enterprise,Pharma,Net-60
CLI-1663,SMB,Manufacturing,Net-60
CLI-0705,Enterprise,FMCG,Net-60
CLI-2013,Mid-Market,Construction,Net-30
CLI-3403,SMB,Retail,Net-30
CLI-1634,Mid-Market,Construction,Net-30
CLI-3438,Enterprise,IT Services,Net-60
CLI-0533,Enterprise,Textiles,Net-30
CLI-3082,Mid-Market,Logistics,Net-30
CLI-0808,Enterprise,FMCG,Net-30
CLI-4786,SMB,Construction,Net-30
CLI-2419,Enterprise,Pharma,Net-15
CLI-4148,SMB,Retail,Net-15
CLI-0152,Mid-Market,Textiles,Net-30
CLI-3709,SMB,Pharma,30 days
CLI-4182,Mid-Market,Pharma,Net-30
CLI-3350,Enterprise,Retail,Net-15
CLI-1396,enterprise,Construction,Net-30
CLI-2864,Enterprise,IT Services,net15
CLI-3559,Enterprise,Construction,Net-30
CLI-4039,SMB,Retail,
CLI-3226,Mid-Market,FMCG,Net-30
CLI-2838,Enterprise,FMCG,Net-60
CLI-3207,Mid-Market,Retail,Net-30
CLI-2095,SMB,Pharma,Net-60
CLI-4729,Mid-Market,Manufacturing,Net-15
CLI-4974,SMB,IT Services,Net-60
CLI-3827,Mid-Market,Manufacturing,Net-60
CLI-2133,Mid-Market,Pharma,Net-30
CLI-0469,Enterprise,Retail,Net-60
CLI-4229,Mid-Market,Textiles,Net-60
CLI-2240,SMB,Textiles,Net-30
CLI-0401,Enterprise,Manufacturing,Net-30
CLI-3480,Mid-Market,Logistics,NET-60
CLI-2818,Mid-Market,Manufacturing,Net-15
CLI-4864,SMB,Pharma,Net-30
CLI-1647,Mid Market,Textiles,Net-60
CLI-0554,Smb,Textiles,Net-60
CLI-0206,enterprise,Textiles,Net-30
CLI-2657,Mid-Market,Pharma,Net-60
CLI-1612,Enterprise,Retail,Net-15
CLI-0177,Mid-Market,Manufacturing,60 days
CLI-4748,Enterprise,FMCG,Net-60
CLI-2324,Mid-Market,Construction,Net-60
CLI-0782,Mid-Market,IT Services,Net-30
CLI-4519,Mid-Market,FMCG,Net-30
CLI-2686,Mid-Market,Retail,Net-30
CLI-3420,Mid-Market,Manufacturing,NET-60
CLI-4099,Mid-Market,FMCG,Net-30
CLI-3003,SMB,IT Services,
CLI-1811,SMB,Logistics,Net-15
CLI-1849,SMB,Construction,Net-60
CLI-3545,SMB,Retail,Net-60
CLI-4892,MID-MARKET,Logistics,Net-30
CLI-0994,SMB,Manufacturing,30 days
CLI-2992,SMB,IT Services,15 days
CLI-0409,Enterprise,Construction,Net-15
CLI-4188,SMB,Manufacturing,Net-60
CLI-2845,mid-market,IT Services,Net-60
CLI-2213,Enterprise,Textiles,Net-15
CLI-1363,mid-market,FMCG,Net-30
CLI-0706,Mid-Market,Pharma,Net-60
CLI-4532,SMB,Retail,Net-15
CLI-3042,ENTERPRISE,Logistics,Net-30
CLI-4395,Mid-Market,Textiles,Net-15
CLI-4445,Enterprise,Construction,Net-15
CLI-4052,Mid-Market,FMCG,Net-15
CLI-0297,Mid-Market,Manufacturing,Net-15
CLI-4856,Mid-Market,IT Services,Net-30
CLI-4859,Enterprise,Construction,Net-15
CLI-2035,Mid-Market,Manufacturing,Net-15
CLI-3068,Enterprise,Retail,Net-30
CLI-1351,SMB,Retail,Net-15
CLI-2155,Enterprise,Retail,Net-15
CLI-1964,Mid-Market,Construction,Net-60
CLI-2529,Mid-Market,FMCG,Net-60
CLI-0230,smb,Logistics,Net-30
CLI-2409,mid-market,IT Services,Net-60
CLI-1000,Enterprise,Logistics,Net-15
CLI-4413,Enterprise,IT Services,Net-15
CLI-2501,Enterprise,Retail,Net-30
CLI-3264,enterprise,IT Services,Net-60
CLI-3302,SMB,Retail,Net-60
CLI-1654,SMB,Construction,Net-15
CLI-2410,Mid-Market,Construction,net15
CLI-4034,Enterprise,Textiles,Net-60
CLI-3781,Mid-Market,Manufacturing,Net-15
CLI-1517,SMB,Retail,Net-15
CLI-4948,Mid-Market,Manufacturing,Net-30
CLI-2470,Enterprise,Manufacturing,Net-60
CLI-3954,Enterprise,Retail,Net-60
CLI-1322,Mid-Market,FMCG,Net-15
CLI-1297,Mid-Market,Textiles,Net-60
CLI-3913,Mid-Market,Textiles,Net-60
CLI-0203,Mid-Market,Logistics,Net-60
CLI-0302,Mid-Market,Construction,Net-15
CLI-4756,Mid-Market,FMCG,Net-30
CLI-3577,Mid-Market,Retail,Net-15
CLI-3997,Mid-Market,Construction,Net-15
CLI-4955,SMB,Textiles,net15
CLI-1710,Enterprise,Retail,Net-30
CLI-4471,Mid-Market,Retail,Net-30
CLI-4782,Mid-Market,Construction,Net-15
CLI-1198,Enterprise,Construction,Net-60
CLI-2070,SMB,IT Services,Net-60
CLI-0274,Mid-Market,Logistics,Net-60
CLI-1044,Mid-Market,Manufacturing,Net-30
CLI-1163,SMB,FMCG,Net-15
CLI-4345,SMB,Pharma,Net-15
CLI-0659,SMB,FMCG,Net-60
CLI-0635,SMB,Pharma,Net-60
CLI-1218,SMB,Textiles,Net-15
CLI-0265,Mid-Market,Logistics,Net-30
CLI-3209,Enterprise,FMCG,Net-60
CLI-1103,Mid-Market,Manufacturing,Net-30
CLI-0458, SMB,FMCG,Net-60
CLI-0049,SMB,Logistics,Net-60
CLI-3844,Enterprise ,Logistics,Net-30
CLI-2904,Mid-Market,,30 days
CLI-4185,Enterprise,Retail,Net-60
CLI-0077,SMB,Logistics,Net-15
CLI-1435,SMB,Textiles,Net-15
CLI-4639,Mid-Market,Construction,Net-30
CLI-2689,Enterprise,Pharma,Net-60
CLI-4728,Smb,,Net-30
CLI-0700,Mid-Market,Logistics,Net-60
CLI-2120,Mid-Market,Textiles,Net-30
CLI-3851,Mid-Market,Construction,Net-15
CLI-4032,Enterprise,IT Services,NET-60
CLI-3390,Mid-Market,FMCG,Net-30
CLI-4640,Enterprise,Logistics,Net-30
CLI-3961,Mid-Market,Construction,
CLI-0983,Mid-Market,Manufacturing,Net-30
CLI-2861,Mid-Market,IT Services,Net-30
CLI-4363,Mid-Market,Pharma,Net-15
CLI-0588,Enterprise,IT Services,Net-60
CLI-3487,SMB,Manufacturing,Net-15
CLI-4602,SMB,Construction,Net-15
CLI-0646,SMB,Textiles,Net-60
CLI-4855,Enterprise,,NET-15
CLI-2446,mid-market,Manufacturing,
CLI-0597,Enterprise,Retail,
CLI-4958,SMB,Logistics,Net-30
CLI-0320,SMB,Construction,Net-15
CLI-3351,Enterprise,Logistics,Net-30
CLI-0207,Mid-Market,Manufacturing,Net-15
CLI-4502,SMB,FMCG,Net-60
CLI-1544,Mid-Market,Logistics,Net-30
CLI-3466,Enterprise,Construction,15 days
CLI-3201,SMB,FMCG,Net-30
CLI-2026,SMB,FMCG,Net-60
CLI-2337,Enterprise,Textiles,Net-60
CLI-1213,ENTERPRISE,FMCG,Net-30
CLI-2542,Mid-Market,Construction,Net-30
CLI-3183,Enterprise,Retail,Net-30
CLI-3486,Enterprise,Pharma,
CLI-1196,Enterprise,,Net-30
CLI-3707,Enterprise,Manufacturing,
CLI-2684,Enterprise,Manufacturing,Net-60
CLI-4673,Enterprise,Logistics,Net-30
CLI-0155,SMB,Manufacturing,Net-60
CLI-1150,Enterprise,Pharma,Net-15
CLI-1465,SMB,Retail,Net-60
CLI-1910,Mid-Market,Construction,NET-60
CLI-4161,Enterprise,Retail,Net-15
CLI-4550,smb,Manufacturing,Net-30
CLI-3975, SMB,IT Services,Net-60
CLI-3074,Enterprise,FMCG,Net-15
CLI-1714,Mid-Market,Retail,Net-60
CLI-0165,Mid-Market,IT Services,Net-30
CLI-3852,Mid-Market,IT Services,30 days
CLI-0868,Mid-Market,Pharma,Net-60
CLI-3407,Enterprise,IT Services,Net-15
CLI-2974,SMB,Pharma,Net-15
CLI-0480,SMB,Textiles,net30
CLI-4295,SMB,Textiles,Net-15
CLI-1237,SMB,Logistics,Net-30
CLI-1140,Mid-Market,Textiles,Net-60
CLI-2137,Enterprise,,Net-30
CLI-4067,SMB,Logistics,Net-30
CLI-1020,enterprise,Construction,Net-30
CLI-4866,Enterprise,Pharma,Net-15
CLI-3655,Enterprise,Textiles,
CLI-4651,Mid-Market,Manufacturing,
CLI-0407,Enterprise,Pharma,15 days
CLI-1631,Mid-Market,Retail,Net-30
CLI-3388,SMB,Retail,net60
CLI-2998,SMB,Textiles,Net-15
CLI-1495,SMB,Construction,Net-60
CLI-3052,SMB,Textiles,NET-15
CLI-0058,Enterprise,FMCG,Net-30
CLI-2314,Enterprise,FMCG,NET-60
CLI-4112,Enterprise,Manufacturing,Net-30
CLI-0312,SMB,Logistics,Net-30
CLI-3549,Enterprise,Retail,15 days
CLI-3573,Mid-Market,FMCG,Net-60
CLI-0082,SMB,Pharma,net60
CLI-0774,Mid-Market,Logistics,Net-15
CLI-1411,SMB,FMCG,Net-60
CLI-3945,SMB,Retail,
CLI-0352,Enterprise,,Net-30
CLI-0330,SMB,IT Services,Net-60
CLI-3002,Enterprise,IT Services,Net-15
CLI-3164,SMB,IT Services,Net-30
CLI-4836,Enterprise,,
CLI-1436,Mid-Market,Logistics,60 days
CLI-3894,Mid-Market,Manufacturing,Net-30
CLI-3638,Mid-Market,Logistics,Net-15
CLI-1416,Enterprise,Construction,NET-30
CLI-4195,Mid-Market,Textiles,Net-30
CLI-2583,MID-MARKET,IT Services,net15
CLI-3590,Enterprise,Logistics,Net-30
CLI-0803,Enterprise,Construction,Net-60
CLI-2847,SMB,Logistics,Net-15
CLI-1817,Mid-Market,Manufacturing,Net-30
CLI-2887,Enterprise,Retail,Net-30
CLI-1697,Mid-Market,Retail,Net-15
CLI-3258,Enterprise,Retail,Net-60
CLI-3104,Enterprise,Manufacturing,Net-15
CLI-3669,SMB,FMCG,Net-60
CLI-0870,Mid-Market,FMCG,Net-15
CLI-4686,SMB,Construction,Net-60
CLI-2257,Mid-Market,Retail,Net-30
CLI-2584,SMB,IT Services,Net-30
CLI-1059,Smb,FMCG,Net-30
CLI-3456,SMB,Manufacturing,NET-15
CLI-1032,Enterprise,IT Services,Net-60
CLI-0574,SMB,Logistics,Net-30
CLI-4435,MID-MARKET,Manufacturing,Net-60
CLI-1539,Mid-Market,FMCG,Net-15
CLI-2392,Mid-Market,IT Services,Net-15
CLI-4645,SMB,Construction,Net-30
CLI-0169,Mid-Market,Pharma,Net-30
CLI-2666,SMB,IT Services,
CLI-3596,Mid-Market,Pharma,Net-30
CLI-2395,SMB,Pharma,Net-30
CLI-2795,Mid-Market,,Net-60
CLI-1337,Mid-Market,Construction,Net-30
CLI-0072,SMB,Manufacturing,Net-60
CLI-4578,Mid-Market,Textiles,Net-60
CLI-4436,Mid-Market,Manufacturing,Net-30
CLI-0455,Enterprise,Pharma,Net-30
CLI-3857,SMB,Textiles,Net-15
CLI-2603,SMB,,Net-60
CLI-1257,Enterprise,Pharma,Net-30
CLI-0101,Mid-Market,Manufacturing,Net-30
CLI-3445,Enterprise,IT Services,Net-60
CLI-4494,Enterprise,IT Services,Net-60
CLI-4242,Mid-Market,,Net-60
CLI-2945,SMB,Manufacturing,Net-60
CLI-2503,Mid-Market,Construction,Net-30
CLI-1156,Mid-Market,Logistics,Net-60
CLI-3496,Mid-Market,Pharma,Net-30
CLI-2622,SMB,,Net-60
CLI-3134,Mid-Market,FMCG,Net-60
CLI-2926,Enterprise,FMCG,Net-15
CLI-3539,Enterprise,Pharma,Net-60
CLI-2136,Enterprise,Logistics,Net-15
CLI-4327,Mid-Market,,Net-60
CLI-2394,Smb,Construction,Net-30
CLI-0311,Enterprise,Manufacturing,Net-60
CLI-2842,Mid-Market,FMCG,Net-60
CLI-3436,Enterprise,IT Services,Net-60
CLI-3955,Enterprise ,FMCG,Net-60
CLI-2435,SMB,Pharma,Net-30
CLI-3787,Enterprise,Retail,Net-15
CLI-4042,Enterprise,Manufacturing,Net-30
CLI-0529,Enterprise,Logistics,Net-60
CLI-2948,Mid-Market,Logistics,Net-15
CLI-1934,SMB,IT Services,Net-15
CLI-2190,Enterprise,Textiles,Net-30
CLI-3967,SMB,Logistics,Net-15
CLI-1779,SMB,Textiles,Net-15
CLI-1527,SMB,Logistics,Net-15
CLI-0468,Enterprise,Manufacturing,Net-30
CLI-2404,SMB,Retail,Net-60
CLI-0091,Enterprise,FMCG,Net-30
CLI-0979,Enterprise,Construction,Net-60
CLI-2447,Enterprise,Pharma,Net-15
CLI-4372,Enterprise,Textiles,Net-15
CLI-0799,Mid-Market,Pharma,Net-15
CLI-2367,Enterprise,FMCG,Net-30
CLI-2984,Mid-Market,Logistics,Net-60
CLI-2194,SMB,IT Services,Net-60
CLI-0897,ENTERPRISE,FMCG,Net-30
CLI-1935,Enterprise,Retail,Net-30
CLI-4594,Mid-Market,Pharma,Net-60
CLI-3058,SMB,Pharma,Net-15
CLI-0056,Enterprise,IT Services,60 days
CLI-3392,SMB,FMCG,Net-30
CLI-2986,SMB,Retail,Net-15
CLI-1426,SMB,Textiles,
CLI-4127,SMB,Construction,Net-15
CLI-2808,Mid-Market,Manufacturing,Net-30
CLI-4331,Mid-Market,FMCG,Net-15
CLI-3334,Mid-Market,Textiles,Net-60
CLI-3421,mid-market,Pharma,Net-30
CLI-1093,Enterprise,Manufacturing,Net-30
CLI-2215,Enterprise,,Net-15
CLI-2919,SMB,Manufacturing,Net-15
CLI-3276,Enterprise ,Logistics,Net-30
CLI-0408,Mid-Market,Construction,Net-30
CLI-3156,Enterprise,Logistics,Net-30
CLI-4683,Mid-Market,Manufacturing,Net-15
CLI-1041,SMB,Manufacturing,NET-15
CLI-2852,Mid-Market,Retail,Net-60
CLI-1129,Mid-Market,Textiles,Net-60
CLI-0026,Enterprise,Retail,Net-30
CLI-3232,SMB,Retail,Net-15
CLI-3778,Mid-Market,,Net-15
CLI-0266,Mid-Market,Textiles,Net-30
CLI-4841,SMB,Manufacturing,Net-60
CLI-4389,Mid-Market,Textiles,
CLI-3416,Enterprise,FMCG,Net-60
CLI-1571,Enterprise,FMCG,Net-60
CLI-2609,Enterprise,FMCG,Net-15
CLI-3315,SMB,Manufacturing,15 days
CLI-4271,Enterprise,FMCG,Net-60
CLI-4093,Enterprise,Textiles,Net-30
CLI-0456,SMB,Manufacturing,Net-60
CLI-1469,Mid-Market,FMCG,Net-15
CLI-2870,Enterprise,Pharma,Net-15
CLI-1716,SMB,IT Services,Net-60
CLI-0292,SMB,Textiles,Net-15
CLI-0256,Enterprise,IT Services,Net-30
CLI-2269,Enterprise,FMCG,60 days
CLI-2570,Mid-Market,Textiles,Net-60
CLI-4286,Mid-Market,Pharma,Net-15
CLI-3192,Mid-Market,Construction,Net-15
CLI-0350,SMB,Logistics,Net-15
CLI-1431,Mid-Market,Textiles,Net-60
CLI-2073,SMB,Construction,Net-60
CLI-3908,SMB,Pharma,Net-15
CLI-2607,ENTERPRISE,Textiles,Net-30
CLI-3166,Enterprise,Logistics,Net-15
CLI-4492,SMB,Pharma,Net-60
CLI-0291,SMB,Logistics,NET-15
CLI-1546,Enterprise,Manufacturing,Net-60
CLI-0973,SMB,Textiles,Net-15
CLI-0642,Enterprise,Logistics,Net-60
CLI-4629,Mid-Market,FMCG,Net-15
CLI-3536,Mid-Market,Manufacturing,net60
CLI-3988,Enterprise,FMCG,Net-60
CLI-0294,Mid-Market,Retail,Net-30
CLI-4797,Mid-Market,Manufacturing,Net-15
CLI-3820,Mid-Market,IT Services,Net-60
CLI-2027,Mid-Market,Construction,Net-30
CLI-0406,Mid-Market,IT Services,Net-15
CLI-4558,SMB,Textiles,Net-60
CLI-3530,Enterprise,FMCG,30 days
CLI-2177,Enterprise,IT Services,Net-30
CLI-1785,Enterprise,Construction,Net-30
CLI-4641,Enterprise,IT Services,Net-15
CLI-4130,Enterprise,FMCG,Net-15
CLI-3651,SMB,Construction,Net-15
CLI-3454,SMB,Pharma,Net-15
CLI-1519,Mid-Market,Retail,Net-30
CLI-2778,SMB,FMCG,Net-30
CLI-1428,Enterprise,Retail,Net-30
CLI-2267,mid-market,Textiles,Net-15
CLI-4250,Enterprise,Logistics,Net-60
CLI-1513,Enterprise,Pharma,NET-30
CLI-2816,SMB,IT Services,Net-30
CLI-2100,Enterprise,Construction,Net-15
CLI-2678,Enterprise,Textiles,Net-60
CLI-0984,SMB,FMCG,Net-15
CLI-1770,SMB,Logistics,Net-30
CLI-1855,Mid-Market,Retail,Net-30
CLI-1844,Mid-Market,Retail,Net-30
CLI-1820,enterprise,Construction,Net-30
CLI-2256,SMB,Retail,Net-30
CLI-4105,Mid-Market,FMCG,Net-30
CLI-4316,Mid-Market,Construction,Net-30
CLI-3180,MID-MARKET,Logistics,Net-15
CLI-2741,Mid-Market,Construction,Net-30
CLI-3272,Enterprise,Manufacturing,Net-30
CLI-1154,Mid-Market,Manufacturing,Net-30
CLI-0154,Enterprise,IT Services,Net-30
CLI-1049,Mid-Market,IT Services,
CLI-2245,Enterprise,IT Services,Net-60
CLI-0198,SMB,Retail,Net-60
CLI-3585,Enterprise,Textiles,Net-15
CLI-2334,Mid-Market,IT Services,Net-60
CLI-2693,Enterprise,IT Services,Net-30
CLI-3994,SMB,Manufacturing,
CLI-2182,SMB,IT Services,Net-60
CLI-0733,Mid-Market,Logistics,
CLI-0905,Mid-Market,,Net-15
CLI-4009,Mid-Market,Manufacturing,Net-15
CLI-3000,Enterprise,Manufacturing,Net-15
CLI-4515,Mid-Market,Manufacturing,Net-30
CLI-1572,Mid-Market,Textiles,Net-30
CLI-2113,SMB,Manufacturing,15 days
CLI-4434,Enterprise,Retail,Net-30
CLI-1101,SMB,Construction,Net-15
CLI-3551,Enterprise,Textiles,Net-15
CLI-3996,SMB,Pharma,Net-15
CLI-4468,Enterprise,IT Services,Net-30
CLI-3324,Mid-Market,Manufacturing,60 days
CLI-0323,Enterprise,Textiles,Net-30
CLI-4890,MID-MARKET,Manufacturing,Net-15
CLI-2422,SMB,Manufacturing,Net-15
CLI-2006,Enterprise,Manufacturing,NET-60
CLI-2743,Mid-Market,Retail,
CLI-4788,SMB,Textiles,Net-15
CLI-0549,Enterprise,Construction,Net-15
CLI-1973,SMB,Textiles,Net-15
CLI-4926,Mid-Market,Textiles,Net-15
CLI-1384,Mid-Market,Logistics,30 days
CLI-4210,Mid-Market,IT Services,Net-60
CLI-4372,Mid-Market,Construction,Net-30
CLI-1948,Enterprise,,Net-15
CLI-2340,SMB,Retail,Net-60
CLI-2463,Enterprise,FMCG,Net-15
CLI-3517,Enterprise,,Net-30
CLI-0778,Enterprise,Construction,Net-15
CLI-3150,Mid-Market,FMCG,Net-30
CLI-2771,Mid-Market,Construction,Net-15
CLI-2606,Enterprise,Textiles,Net-15
CLI-0193,SMB,Textiles,Net-60
CLI-0036,Enterprise,Retail,Net-30
CLI-3914,Enterprise,Construction,Net-30
