payment_id,invoice_id,payment_date,amount_paid,discount_applied
PAY-1281,INV-1290,2026-07-07,308251.70,2873.50
PAY-4266,INV-4344,2026-11-26,492789.61,0.00
PAY-3564,INV-3622,2026-07-25,1422281.64,0.00
PAY-6992,INV-7114,2025-10-22,73106.77,145.87
PAY-2077,INV-2096,2026-01-13,1125791.63,9771.48
PAY-3980,INV-4046,2025-06-28,856910.87,35488.30
PAY-3014,INV-3048,2026-11-30,1238783.26,0.00
PAY-1327,INV-1338,2026-02-30,1902678.88,0.00
PAY-2271,INV-2295,2026-05-28,1832691.80,20769.85
PAY-4514,INV-4595,2025-07-26,700572.15,0.00
PAY-3346,INV-3406,2026-08-25,428975.74,0.00
PAY-4941,INV-5029,2025-12-22,257381.81,1134.52
PAY-5796,INV-5907,2025-07-24,1438857.50,44055.58
PAY-3085,INV-3123,2026-08-30,1925521.91,37715.92
PAY-2919,INV-2949,2026-09-04,1925255.87,0.00
PAY-2320,INV-2345,2026-03-03,506019.69,9794.98
PAY-5118,INV-5220,2026-12-09,1647163.64,0.00
PAY-5733,INV-5846,2026-02-30,789955.63,0.00
PAY-5307,INV-5412,2026-10-19,371276.90,0.00
PAY-1819,INV-1833,2026-03-13,496285.80,0.00
PAY-2479,INV-2494,2026-01-02,1760127.74,68700.35
PAY-2243,INV-2266,2026-03-04,35249.10,703.09
PAY-3029,INV-3064,2026-08-30,1594332.51,0.00
PAY-2248,INV-2272,2026-06-01,931670.76,0.00
PAY-5645,INV-5749,2026-03-26,349188.73,0.00
PAY-6442,INV-6561,2026-11-07,439299.78,0.00
PAY-2313,INV-2338,2026-05-31,1025593.37,38646.53
PAY-5979,INV-6092,2025-07-28,1055225.51,13544.43
PAY-6987,INV-7108,2025-09-18,399386.50,0.00
PAY-1772,INV-1783,2026-04-17,1820965.92,0.00
PAY-7241,INV-7367,2026-02-18,1286022.76,0.00
PAY-1343,INV-1354,2026-10-16,804778.23,0.00
PAY-4119,INV-4187,2025-11-13,564259.60,0.00
PAY-7280,INV-7404,2026-12-08,1314703.20,16765.84
PAY-2722,INV-2738,2026-03-22,163007.17,0.00
PAY-2777,INV-2797,2025-09-23,626913.50,0.00
PAY-1558,INV-1567,2025-07-26,1225251.28,39310.81
PAY-4547,INV-4636,2026-09-04,406008.33,0.00
PAY-6846,INV-6962,2026-03-27,407136.03,13324.08
PAY-6824,INV-6939,2026-02-05,872715.68,14056.54
PAY-3452,INV-3518,2026-11-28,1269620.71,0.00
PAY-5248,INV-5353,2025-06-04,109365.52,0.00
PAY-2376,INV-2404,2025-12-26,166878.65,0.00
PAY-7295,INV-7418,2026-11-09,273329.55,0.00
PAY-2800,INV-2819,2025-05-24,69709.39,0.00
PAY-4746,INV-4827,,1821547.80,
PAY-2093,INV-2110,2026-10-08,406501.64,0.00
PAY-7456,INV-9467,2026-01-13,418060.05,0.00
PAY-5789,INV-5901,19-09-2026,1253627.74,0.00
PAY-2971,INV-3005,2025-10-08,798625.60,32115.08
PAY-6716,INV-6828,2025-10-31,355727.86,0.00
PAY-1600,INV-1613,2026-01-10,140028.70,0.00
PAY-1917,INV-1937,2026-08-16,412255.97,940.12
PAY-2439,INV-2459,2026-07-06,960684.65,
PAY-7461,INV-9030,2025-06-14,203339.24,0.00
PAY-6610,INV-6725,2025-12-25,148810.23,19039.68
PAY-3223,INV-3284,2025-09-08,186767.85,7034.72
PAY-4064,INV-4129,2025-12-15,203241.42,1728.68
PAY-2713,INV-2729,2026-02-13,1534832.16,78107.25
PAY-3976,INV-4041,2025-08-15,1946611.39,0.00
PAY-5200,INV-5305,2027-01-15,1298094.44,21653.12
PAY-2760,INV-2777,2026-08-24,1987192.98,0.00
PAY-5744,INV-5857,2025-08-05,1181473.63,0.00
PAY-2964,INV-2999,2025-07-08,212747.43,0.00
PAY-7223,INV-7350,2025-08-30,,0.00
PAY-6044,INV-6156,2026-07-13,303150.29,2479.90
PAY-2312,INV-2337,2026-08-11,105910.86,-11211.29
PAY-5984,INV-6097,2025-12-26,1773325.40,0.00
PAY-6817,INV-6931,2025-10-18,,
PAY-6001,INV-6113,2026-07-22,20229.69,1425.98
PAY-2704,INV-2721,2026-01-31,126449.07,18531.05
PAY-3963,INV-4025,2027-01-06,683764.64,0.00
PAY-3575,INV-3639,2026-04-15,470014.14,15471.44
PAY-4378,INV-4455,,1956582.17,0.00
PAY-6594,INV-6711,2026-04-28,423687.26,0.00
PAY-3550,INV-3606,2026-03-30,1496203.14,18451.37
PAY-4711,INV-4792,2025-06-15,1384444.21,34737.22
PAY-4083,INV-4152,2026-12-04,563748.84,0.00
PAY-3081,INV-3119,01-08-2025,656281.22,0.00
PAY-6997,INV-7119,2025-11-10,1185671.57,29517.79
PAY-5517,INV-5623,,241836.69,0.00
PAY-2718,INV-2733,2025-11-27,196526.91,0.00
PAY-4090,INV-4159,2026-04-03,658652.48,0.00
PAY-6825,INV-6939,2026-02-04,749514.28,0.00
PAY-7458,INV-9337,2026-10-17,43653.46,0.00
PAY-5915,INV-6029,2025-10-29,613731.81,0.00
PAY-7016,INV-7142,2026-04-28,395419.52,28519.03
PAY-2861,INV-2887,,800484.95,0.00
PAY-5864,INV-5979,2026-11-30,710070.74,0.00
PAY-5375,INV-5483,2026-08-22,1391091.09,0.00
PAY-7384,INV-9351,2025-11-22,488805.23,0.00
PAY-4704,INV-4786,2026-05-12,1531492.04,0.00
PAY-4752,INV-4834,26-03-2026,834706.03,0.00
PAY-5606,INV-5709,2026-05-14,619180.01,0.00
PAY-1723,INV-1735,2026-11-07,267966.06,0.00
PAY-2848,INV-2876,2026-08-12,288995.02,0.00
PAY-3588,INV-3649,2026-05-04,614372.45,13039.43
PAY-1640,INV-1655,2026-06-06,1727832.96,0.00
PAY-6300,INV-6412,2025-10-12,361125.81,0.00
PAY-6591,INV-6709,2026-01-01,1284214.42,9853.88
PAY-5028,INV-5124,2025-07-03,395656.46,0.00
PAY-3567,INV-3626,2026-04-28,334999.96,0.00
PAY-2190,INV-2210,2025-06-13,624100.94,57227.21
PAY-5218,INV-5323,11-10-2026,243325.70,0.00
PAY-5819,INV-5930,2026-04-20,1422748.07,36270.77
PAY-5883,INV-6001,2025-12-27,1679006.76,0.00
PAY-6150,INV-6260,2026-10-08,,
PAY-6565,INV-6681,2026-09-29,188737.17,9370.96
PAY-3629,INV-3689,2026-08-30,1874689.57,0.00
PAY-1140,INV-1146,2026-01-12,356071.15,0.00
PAY-1956,INV-1980,2025-12-05,1833652.50,6502.84
PAY-4572,INV-4658,2025-09-30,1665634.20,0.00
PAY-2536,INV-2553,2026-08-06,,70681.19
PAY-5268,INV-5373,2026-08-03,1299948.95,39509.94
PAY-5955,INV-6069,2025-07-20,1465041.61,0.00
PAY-1821,INV-1836,2025-05-27,1085970.49,0.00
PAY-4170,INV-4244,2026-10-07,876203.17,35116.68
PAY-1372,INV-1384,2026-05-26,1171020.52,0.00
PAY-1934,INV-1957,2026-10-22,1981697.34,0.00
PAY-7329,INV-7452,2026-01-12,170917.37,0.00
PAY-5409,INV-5514,2026-05-19,696139.17,9115.89
PAY-2993,INV-3025,2026-01-01,1690354.40,63371.94
PAY-1754,INV-1766,2025-11-04,1020237.91,0.00
PAY-3281,INV-3344,2025-07-28,732859.12,
PAY-1186,INV-1194,2026-03-17,1805503.39,90906.79
PAY-4534,INV-4621,2026-04-09,1896186.16,97446.93
PAY-3733,INV-3795,2026-07-20,1830189.32,44647.55
PAY-1731,INV-1741,2025-08-23,520069.83,0.00
PAY-4401,INV-4478,2025-06-05,375093.22,0.00
PAY-5927,INV-6039,2025-12-13,30297.70,0.00
PAY-3473,INV-3538,2026-11-06,241134.22,21703.70
PAY-1259,INV-1269,2026-03-20,383231.56,0.00
PAY-3184,INV-3245,16-10-2026,520076.42,14606.63
PAY-2306,INV-2333,2026-07-23,911884.04,0.00
PAY-5491,INV-5597,2025-05-15,1958973.46,0.00
PAY-2548,INV-2568,2025-08-12,983771.98,0.00
PAY-2345,INV-2372,2026-08-21,-1651113.50,43751.44
PAY-1200,INV-1206,2025-10-22,991354.99,13697.11
PAY-7317,INV-7441,,1251830.27,35416.60
PAY-4758,INV-4842,2026-09-05,140962.86,0.00
PAY-1227,INV-1234,2026-04-20,853804.72,55273.98
PAY-2386,INV-2413,2026-04-08,1646002.43,65066.86
PAY-5185,INV-5289,2025-10-09,1139484.49,0.00
PAY-4326,INV-4401,2026-02-05,371701.57,0.00
PAY-5868,INV-5982,05-01-2027,1028982.11,13545.44
PAY-6219,INV-6334,2025-06-20,1870057.23,0.00
PAY-2468,INV-2483,2026-11-27,404069.65,19383.49
PAY-3266,INV-3327,2026-11-09,845686.63,0.00
PAY-4526,INV-4611,2026-11-01,906679.28,43865.95
PAY-6709,INV-6822,2025-09-23,630575.98,45950.72
PAY-5083,INV-5186,2025-12-13,1222346.63,33282.94
PAY-5595,INV-5699,2025-11-28,1063982.63,36248.10
PAY-3767,INV-3832,2026-08-21,1245477.50,0.00
PAY-6929,INV-7052,2025-12-25,1337959.45,0.00
PAY-7379,INV-9208,2026-05-06,58660.59,0.00
PAY-3313,INV-3377,2025-06-03,1381443.51,52889.84
PAY-3296,INV-3361,2026-03-22,970326.19,0.00
PAY-6865,INV-6980,2026-04-21,,20925.26
PAY-5614,INV-5717,2026-03-13,1400416.84,0.00
PAY-3795,INV-3860,2025-09-22,348508.75,0.00
PAY-2689,INV-2709,2025-09-14,620059.90,0.00
PAY-6396,INV-6509,2026-08-04,724446.29,37803.81
PAY-2454,INV-2469,2026-12-25,539927.63,35737.33
PAY-2367,INV-2397,2026-04-22,273629.05,0.00
PAY-3541,INV-3596,2026-04-07,573981.10,13537.74
PAY-5008,INV-5102,2025-10-03,97564.70,10013.63
PAY-1110,INV-1114,2025-10-25,5481.67,103.35
PAY-1304,INV-1314,29-12-2025,518716.08,45572.86
PAY-1959,INV-1984,2025-07-15,1817026.15,0.00
PAY-4983,INV-5076,19-03-2026,1650287.38,31987.89
PAY-2805,INV-2826,2026-09-18,1468070.27,0.00
PAY-4739,INV-4819,2026-11-04,1248935.47,0.00
PAY-4379,INV-4457,2026-02-24,1032372.06,0.00
PAY-6952,INV-7074,2025-08-11,1558294.01,7902.30
PAY-5225,INV-5330,2026-10-10,1191620.15,36943.57
PAY-6954,INV-7076,2026-05-30,1943437.58,0.00
PAY-1195,INV-1201,2026-03-11,539692.62,0.00
PAY-2539,INV-2558,2026-09-21,671530.21,0.00
PAY-5270,INV-5375,2026-02-30,545363.74,37034.54
PAY-5549,INV-5655,2026-11-21,1168215.77,0.00
PAY-4320,INV-4396,2025-10-09,454399.15,0.00
PAY-4389,INV-4467,2026-05-25,180679.26,9170.98
PAY-4041,INV-4105,2026-09-06,1715069.06,2703.11
PAY-4808,INV-4897,2026-05-01,311690.51,0.00
PAY-1693,INV-1707,2026-07-14,1521911.03,0.00
PAY-6097,INV-6208,2026-12-07,403806.42,19582.15
PAY-3868,INV-3932,2026-08-29,700956.43,0.00
PAY-3482,INV-3547,02-10-2025,700755.01,21062.99
PAY-7248,INV-7374,2026-09-24,1933410.43,11906.16
PAY-4435,INV-4513,2025-11-08,-1427847.66,-343.29
PAY-1924,INV-1944,2026-11-30,1658738.42,84096.17
PAY-1583,INV-1595,2026-05-04,698276.17,0.00
PAY-7062,INV-7183,2025-12-14,134142.41,1376.12
PAY-4409,INV-4484,2025-12-30,1117342.54,0.00
PAY-1564,INV-1574,2026-09-06,1435133.20,18002.24
PAY-4942,INV-5030,2025-09-14,963366.95,18380.04
PAY-1457,INV-1468,2026-01-03,1160188.83,0.00
PAY-5158,INV-5263,2026-10-09,1206193.56,0.00
PAY-7460,INV-9054,2026-09-21,496298.79,0.00
PAY-5151,INV-5255,2027-01-03,1013351.12,0.00
PAY-4479,INV-4560,2025-07-23,918589.16,0.00
PAY-4432,INV-4510,07-06-2025,1647244.52,0.00
PAY-3599,INV-3660,2026-04-22,425812.94,0.00
PAY-3421,INV-3486,2025-09-30,36613.40,1612.24
PAY-1185,INV-1193,2025-11-01,427107.06,78.43
PAY-2811,INV-2835,2026-06-20,1904818.20,55407.12
PAY-2027,INV-2056,2025-07-13,1247826.25,0.00
PAY-5990,INV-6103,2026-12-03,863907.57,0.00
PAY-4485,INV-4566,2026-03-09,204892.49,0.00
PAY-6806,INV-6919,2026-03-03,890738.65,0.00
PAY-5242,INV-5348,2026-08-19,129543.90,-2421.69
PAY-6100,INV-6210,2025-10-29,1831844.26,0.00
PAY-1530,INV-1536,2026-12-19,746221.94,0.00
PAY-5456,INV-5563,2026-10-22,603388.41,22470.72
PAY-4151,INV-4227,2025-11-03,1118918.65,0.00
PAY-3924,INV-3986,2025-11-03,1214999.59,7159.68
PAY-7407,INV-9281,2025-09-24,247521.38,0.00
PAY-6927,INV-7048,2026-01-27,1190635.26,42207.87
PAY-4885,INV-4975,2026-09-15,1766436.78,51238.13
PAY-1813,INV-1824,2026-06-08,1559919.48,
PAY-6886,INV-7006,2026-01-19,1164908.39,0.00
PAY-1300,INV-1310,2025-12-30,789588.04,0.00
PAY-1249,INV-1258,2025-08-07,1643893.79,21482.40
PAY-2198,INV-2221,2026-07-04,658310.46,0.00
PAY-2042,INV-2067,2026-06-25,438481.02,0.00
PAY-6251,INV-6365,2025-09-17,116567.75,0.00
PAY-2257,INV-2279,2025-08-21,626338.45,0.00
PAY-2589,INV-2607,2026-10-02,1921011.07,0.00
PAY-6633,INV-6748,2025-12-19,1596021.40,54532.55
PAY-2492,INV-2508,2026-12-28,1037801.28,32747.66
PAY-5228,INV-5332,2026-02-30,1609999.16,70486.91
PAY-2078,INV-2096,2025-12-15,527524.98,0.00
PAY-2122,INV-2141,2026-11-25,,0.00
PAY-6600,INV-6715,2026-02-01,1017959.41,45570.51
PAY-6890,INV-7011,2026-01-02,1999507.66,0.00
PAY-3739,INV-3801,2025-06-07,903373.14,-965.68
PAY-4056,INV-4120,2026-09-03,509569.08,23065.97
PAY-1407,INV-1418,2026-07-24,799598.00,28863.81
PAY-3908,INV-3972,2025-11-21,720303.39,80565.01
PAY-3813,INV-3878,2026-02-27,680229.88,12909.52
PAY-3694,INV-3753,2025-11-03,1465437.33,0.00
PAY-4182,INV-4257,2026-06-13,1168219.72,0.00
PAY-2267,INV-2290,2026-02-06,48503.59,1771.01
PAY-3551,INV-3607,2026-01-29,413679.06,0.00
PAY-4459,INV-4539,2025-11-14,,0.00
PAY-3399,INV-3466,2026-02-26,513758.36,0.00
PAY-5786,INV-5898,2026-10-01,1901154.01,0.00
PAY-5858,INV-5971,2026-07-11,1690496.83,0.00
PAY-1872,INV-1890,2026-09-26,1055031.57,0.00
PAY-6139,INV-6248,2025-06-23,84703.58,3756.99
PAY-6857,INV-6972,2026-04-06,1543932.44,43757.43
PAY-4896,INV-4987,2026-12-01,1026574.54,0.00
PAY-4121,INV-4188,2026-03-12,796974.92,0.00
PAY-1483,INV-1492,2025-09-27,719665.24,0.00
PAY-6833,INV-6948,21-11-2026,336056.60,0.00
PAY-2247,INV-2271,2026-04-22,1514578.12,14135.97
PAY-5054,INV-5152,,558521.22,0.00
PAY-4349,INV-4424,2025-09-18,420634.25,0.00
PAY-2613,INV-2633,2026-04-23,213796.39,0.00
PAY-6524,INV-6644,2026-03-26,467129.91,0.00
PAY-2404,INV-2430,2026-03-20,1775732.98,0.00
PAY-1811,INV-1821,2026-10-13,644555.60,
PAY-5920,INV-6033,2027-01-03,-1227018.14,0.00
PAY-2891,INV-2920,2025-12-21,1555302.54,0.00
PAY-4699,INV-4779,2025-07-31,805222.11,60983.48
PAY-5273,INV-5377,10-01-2026,1810402.75,44939.91
PAY-1994,INV-2022,2026-04-22,36320.85,0.00
PAY-4986,INV-5079,2025-10-02,1086476.98,0.00
PAY-3697,INV-3756,2025-08-14,361199.44,0.00
PAY-3309,INV-3374,2025-07-21,770391.99,0.00
PAY-2584,INV-2603,2025-08-02,867425.98,36685.14
PAY-6602,INV-6717,2026-06-28,1715445.24,0.00
PAY-6649,INV-6763,2025-06-16,432876.89,0.00
PAY-6482,INV-6605,2026-06-09,438722.02,0.00
PAY-4962,INV-5052,2026-05-04,888347.97,0.00
PAY-7271,INV-7398,2026-06-25,845261.95,0.00
PAY-2790,INV-2810,2026-01-19,822217.79,10454.21
PAY-5442,INV-5549,2025-08-19,1080459.61,16818.81
PAY-4769,INV-4854,2026-01-07,25855.85,0.00
PAY-1568,INV-1577,2025-06-02,1334487.72,0.00
PAY-2369,INV-2399,2026-08-06,231695.89,24869.27
PAY-7030,INV-7155,2025-09-18,1207901.89,47929.20
PAY-5123,INV-5224,2026-07-24,670669.17,0.00
PAY-3653,INV-3711,2025-07-20,305746.71,11240.73
PAY-2822,INV-2849,2025-09-18,617932.07,19879.26
PAY-1577,INV-1590,2025-09-05,1879937.96,0.00
PAY-1241,INV-1248,2026-12-10,1236101.98,45001.82
PAY-1746,INV-1758,2026-11-09,1545098.88,66109.20
PAY-3189,INV-3250,,446658.52,1956.39
PAY-3945,INV-4008,2026-05-17,572534.14,0.00
PAY-2250,INV-2273,2026-03-10,499786.14,33152.45
PAY-6503,INV-6627,2026-05-21,1265939.37,47029.14
PAY-3940,INV-4004,2026-11-20,792093.06,56387.34
PAY-2373,INV-2402,2026-01-14,355967.75,0.00
PAY-3323,INV-3384,2026-12-21,602346.98,0.00
PAY-4050,INV-4116,2026-12-20,966597.40,22071.25
PAY-1708,INV-1722,2025-11-15,1278579.35,33865.17
PAY-5237,INV-5342,2025-12-30,1832577.41,71552.72
PAY-2874,INV-2903,2025-11-28,1034977.42,0.00
PAY-2738,INV-2754,,1603098.73,0.00
PAY-4431,INV-4509,2026-10-17,270950.50,-13191.61
PAY-1982,INV-2009,2025-07-29,1342739.51,0.00
PAY-6138,INV-6247,2026-09-28,1847720.66,84664.13
PAY-6718,INV-6831,2025-09-06,465681.30,0.00
PAY-5555,INV-5660,2026-03-10,101479.46,2182.63
PAY-6859,INV-6975,2025-12-18,282482.31,0.00
PAY-5540,INV-5645,2025-11-13,1280152.97,0.00
PAY-5600,INV-5703,2025-09-13,1183139.49,12988.78
PAY-4685,INV-4766,2025-08-20,,0.00
PAY-4886,INV-4976,2026-10-10,36270.36,0.00
PAY-3487,INV-3552,2026-06-13,1838235.32,90085.49
PAY-6909,INV-7031,2026-08-23,,0.00
PAY-1978,INV-2005,2026-02-30,820455.79,0.00
PAY-4894,INV-4985,2025-12-23,1966357.03,0.00
PAY-6726,INV-6840,2025-08-17,534702.83,17198.61
PAY-7144,INV-7266,2026-10-12,537721.77,0.00
PAY-6249,INV-6363,2026-03-09,349269.11,180.91
PAY-6490,INV-6613,2026-04-16,196540.31,2855.50
PAY-5041,INV-5137,2026-03-10,703483.34,69855.68
PAY-4268,INV-4345,2026-10-05,456870.26,75613.97
PAY-4695,INV-4775,2026-12-10,610906.74,12316.34
PAY-5197,INV-5302,2025-06-11,-1100131.01,0.00
PAY-1478,INV-1489,2026-09-18,329144.42,0.00
PAY-5627,INV-5731,2025-05-15,1732888.38,0.00
PAY-1756,INV-1767,2026-08-10,74523.70,0.00
PAY-5070,INV-5174,2026-07-19,1795911.09,0.00
PAY-5620,INV-5724,2025-08-14,148980.05,0.00
PAY-3181,INV-3243,2026-08-08,338219.38,0.00
PAY-3073,INV-3109,2026-06-24,557519.58,10777.75
PAY-5846,INV-5959,2025-10-25,1766274.01,0.00
PAY-2352,INV-2382,2026-02-04,108405.28,3747.74
PAY-1563,INV-1572,2025-08-18,1819099.24,0.00
PAY-1519,INV-1527,2026-11-07,74907.58,0.00
PAY-5681,INV-5792,2026-05-25,1610127.79,0.00
PAY-7184,INV-7308,2025-12-08,476764.57,4485.02
PAY-2451,INV-2467,2026-02-13,190509.67,15335.36
PAY-2655,INV-2676,2025-07-22,583917.60,0.00
PAY-2048,INV-2071,2026-11-28,1716571.72,0.00
PAY-2003,INV-2031,2025-08-23,883577.26,16049.17
PAY-4874,INV-4966,2026-11-22,134671.20,7489.31
PAY-6871,INV-6985,2026-08-10,1828466.73,12063.30
PAY-1757,INV-1768,30-04-2026,1439490.20,0.00
PAY-6919,INV-7039,2026-12-15,1580221.50,0.00
PAY-6336,INV-6448,2026-01-16,820363.34,0.00
PAY-3245,INV-3305,2025-09-16,996189.97,0.00
PAY-7360,INV-7482,2026-08-29,,0.00
PAY-4017,INV-4082,2025-10-10,1491985.26,0.00
PAY-6387,INV-6500,2025-11-21,551582.79,14214.85
PAY-4364,INV-4441,2025-07-18,1834358.68,0.00
PAY-4407,INV-4483,2026-08-09,493934.95,0.00
PAY-1614,INV-1627,2025-12-02,1412759.71,0.00
PAY-3344,INV-3403,2025-09-02,1883278.32,0.00
PAY-1392,INV-1402,2026-04-04,1618201.27,43518.36
PAY-6651,INV-6766,,882062.85,0.00
PAY-6603,INV-6718,2026-02-28,1220004.36,0.00
PAY-2532,INV-2549,2026-04-16,1190429.86,0.00
