invoice_id,client_id,invoice_amount,due_date
INV-1733,CLI-1107,442148.25,2026-06-23
INV-4036,CLI-4350,686234.93,2026-11-25
INV-6525,CLI-2035,776572.75,2026-07-19
INV-1514,CLI-3850,1525374.44,2026-05-21
INV-2442,CLI-3055,702651.03,2025-09-09
INV-2930,CLI-1299,79110.94,2026-12-28
INV-7356,CLI-1987,1452839.86,2025-06-14
INV-1731,CLI-4342,795275.36,2026-10-12
INV-3595,CLI-2788,1788223.85,2026-01-08
INV-3235,CLI-1103,95892.38,
INV-6329,CLI-0736,-178209.93,2026-10-27
INV-7139,CLI-2977,493043.30,2025-10-31
INV-1173,CLI-4024,1623339.28,2026-01-04
INV-2951,CLI-0254,611520.34,2026-10-16
INV-6963,CLI-4436,1811418.44,2025-06-24
INV-1365,CLI-4997,986814.28,2025-06-08
INV-2110,CLI-0598,406501.64,2026-10-14
INV-6034,CLI-4918,N/A,2026-10-31
INV-2823,CLI-4739,1850351.62,2026-07-05
INV-2125,CLI-3443,1692833.65,2026-01-28
INV-1525,CLI-2909,1361710.04,2026-08-08
INV-2378,CLI-4749,511346.96,2026-01-09
INV-4635,CLI-0136,1353144.12,2025-10-07
INV-6476,CLI-3220,1834197.57,2026-03-13
INV-1867,CLI-3398,1621419.50,2026-09-13
INV-7272,CLI-4841,1743012.33,2025-07-19
INV-3669,CLI-3301,384050.83,
INV-6271,CLI-2215,345472.79,2025-09-09
INV-4545,CLI-2346,434184.75,2025-12-14
INV-6474,CLI-3458,994587.92,2026-07-12
INV-4908,CLI-4442,1381159.94,2026-01-15
INV-2969,CLI-3150,1115405.77,2026-03-02
INV-3283,CLI-4854,-1610361.41,2026-10-21
INV-3012,CLI-3602,1470968.57,2026-11-23
INV-3435,CLI-0964,1525832.67,2026-10-30
INV-2008,CLI-3019,1227001.76,2026-09-27
INV-5345,CLI-2894,320753.95,2026-02-24
INV-1199,CLI-2541,744313.31,2026-07-16
INV-3104,CLI-2988,902472.33,2025-06-22
INV-2482,CLI-4469,1855582.25,2026-05-02
INV-5320,CLI-0668,512310.75,2026-12-09
INV-7462,CLI-4350,1445016.60,2025-10-30
INV-7470,CLI-4768,696906.94,23-10-2025
INV-3667,CLI-0522,427323.45,2025-06-16
INV-5631,CLI-2136,1768267.49,2026-08-13
INV-3636,CLI-0188,249512.03,2026-09-09
INV-2051,CLI-0974,859103.86,2025-09-26
INV-5121,CLI-1947,1416692.88,2026-09-01
INV-5292,CLI-2152,1712403.08,2026-10-03
INV-6742,CLI-1299,1856507.52,2026-05-19
INV-2935,CLI-1543,1224385.23,2026-05-06
INV-4264,CLI-3449,1490212.63,2025-09-14
INV-3551,CLI-1054,1991276.30,2026-10-03
INV-6369,CLI-3065,1727255.97,2025-10-04
INV-5148,CLI-0395,917687.49,2026-07-19
INV-6944,CLI-0582,1927693.87,2026-02-06
INV-7279,CLI-2375,666840.54,2025-09-26
INV-1673,CLI-0075,620161.63,2026-09-01
INV-4056,CLI-1468,944164.31,2025-11-14
INV-3873,CLI-0722,1515340.71,
INV-7308,CLI-4415,481249.59,2025-11-20
INV-5382,CLI-3598,268045.28,2026-08-26
INV-3877,CLI-1539,1389978.48,2025-06-29
INV-1692,CLI-0016,1025342.98,22-11-2026
INV-2996,CLI-1901,1131865.97,2025-08-20
INV-3543,CLI-1412,1871746.23,2025-08-17
INV-7261,CLI-1011,1828378.97,2026-10-18
INV-2719,CLI-2837,1728370.85,2026-01-03
INV-3229,CLI-3876,1379746.45,2025-11-11
INV-6583,CLI-2316,1634071.97,
INV-2249,CLI-1961,1312927.56,2025-07-22
INV-6595,CLI-3622,1949783.26,2025-07-05
INV-3003,CLI-2013,1223847.29,
INV-7066,CLI-2586,955636.80,2026-11-02
INV-6850,CLI-1468,1627070.22,2026-12-06
INV-2762,CLI-0609,78692.37,2026-06-29
INV-4676,CLI-2291,"₹1,145,061.80",2026-05-14
INV-7284,CLI-4800,1182049.65,2026-03-21
INV-6408,CLI-0022,1149720.33,2025-12-06
INV-2707,CLI-4887,113422.64,2026-10-26
INV-2962,CLI-2326,,
INV-6395,CLI-4568,683162.49,2025-09-17
INV-5448,CLI-4427,1471859.03,2026-05-25
INV-7065,CLI-3831,471103.60,2025-09-20
INV-5129,CLI-2014,515246.83,2026-09-17
INV-5309,CLI-4962,337642.17,2025-06-19
INV-5853,CLI-0665,1909835.20,2026-12-04
INV-4592,CLI-0041,1514404.92,07-11-2026
INV-2958,CLI-3306,750093.01,2026-06-09
INV-2835,CLI-0152,1960225.32,2026-05-25
INV-4576,CLI-0296,288329.73,2025-09-02
INV-5014,CLI-2598,"₹1,695,180.13",2025-06-02
INV-2881,CLI-4484,-176269.93,2026-08-16
INV-5663,CLI-0988,1778456.45,2025-11-02
INV-2818,CLI-2380,780077.65,22-03-2026
INV-3952,CLI-1860,666335.79,2026-03-28
INV-6312,CLI-4173,1323304.25,2026-04-02
INV-7116,CLI-0804,946587.06,2026-12-17
INV-4916,CLI-0460,261147.27,2026-07-04
INV-3555,CLI-3695,1646558.30,2026-08-20
INV-6483,CLI-2399,803643.90,2025-07-29
INV-1001,CLI-0442,1633740.49,2026-05-09
INV-5331,CLI-2074,1032644.90,2026-06-09
INV-4797,CLI-4468,653746.89,2025-12-08
INV-1996,CLI-1942,N/A,2025-11-09
INV-4552,CLI-0166,328858.05,2025-09-14
INV-4507,CLI-0639,-1690583.25,2026-11-12
INV-6021,CLI-2436,298539.69,2025-09-20
INV-1882,CLI-2419,8065.93,2026-01-22
INV-2137,CLI-1852,"₹944,733.41",2025-12-18
INV-6327,CLI-1305,775456.77,2026-08-04
INV-5832,CLI-0463,1495592.86,2026-02-13
INV-6860,CLI-4054,384980.01,2026-06-12
INV-3360,CLI-4667,1655671.12,2025-07-21
INV-4243,CLI-1629,64161.79,2026-09-19
INV-5315,CLI-0991,259927.84,2026-12-13
INV-5554,CLI-2769,1280417.11,2025-12-26
INV-6288,CLI-2674,1912914.70,
INV-7079,CLI-3760,190553.17,2025-09-14
INV-6462,CLI-2560,1197079.04,2025-06-11
INV-2437,CLI-4616,1332241.22,2025-09-28
INV-7496,CLI-0051,1171987.40,2025-07-24
INV-4754,CLI-4274,842850.79,2026-03-01
INV-2501,CLI-0710,278122.54,2026-04-17
INV-1565,CLI-1646,314824.31,2026-02-12
INV-3683,CLI-3304,1740799.88,2026-04-06
INV-3089,CLI-0205,1089697.55,2025-09-17
INV-5099,CLI-2626,1068495.63,2026-12-09
INV-4321,CLI-0931,1899922.56,2025-12-18
INV-4040,CLI-4562,1049021.14,2026-11-02
INV-4646,CLI-2883,243659.60,2026-09-14
INV-2581,CLI-0796,179140.18,2026-01-07
INV-4493,CLI-1033,582338.80,2026-06-13
INV-5310,CLI-4423,1541698.72,2025-10-11
INV-5037,CLI-1224,478104.20,2026-05-01
INV-2709,CLI-2388,620059.90,2025-08-22
INV-4546,CLI-2783,349894.20,2025-08-05
INV-6467,CLI-0407,1588377.86,2026-03-14
INV-4583,CLI-0691,612869.78,2026-02-15
INV-4139,CLI-3545,"₹894,903.62",2025-09-20
INV-7437,CLI-1586,1939207.98,2026-01-06
INV-6007,CLI-3180,563974.55,2026-05-08
INV-4421,CLI-3567,,2025-08-06
INV-7029,CLI-1590,1760015.92,2026-07-27
INV-6953,CLI-2430,1540739.72,09-09-2025
INV-5993,CLI-0168,209673.39,2025-08-17
INV-2824,CLI-2903,1605814.89,2026-03-15
INV-2595,CLI-1350,1526587.01,2025-07-21
INV-4618,CLI-4122,457470.89,2026-03-25
INV-2745,CLI-3349,1987265.81,18-06-2026
INV-3581,CLI-3011,1245248.93,2026-04-02
INV-5648,CLI-1434,1854146.05,2025-12-25
INV-7245,CLI-3693,691679.84,2026-02-27
INV-6435,CLI-4501,268378.75,2026-10-19
INV-2462,CLI-0866,639489.22,2026-07-06
INV-1662,CLI-4559,692362.41,2026-03-13
INV-4103,CLI-3532,1815266.54,2026-10-06
INV-6166,CLI-0590,1793936.32,2025-08-11
INV-1878,CLI-1014,1654831.16,2026-08-16
INV-6359,CLI-4352,191097.36,2026-05-30
INV-3112,CLI-1427,56950.84,
INV-6843,CLI-2005,361890.88,2025-11-09
INV-1114,CLI-2869,18066.77,2025-10-18
INV-4251,CLI-3167,,2026-06-01
INV-2738,CLI-0216,952330.31,2026-08-05
INV-3409,CLI-3583,"₹1,788,999.68",2026-13-14
INV-2242,CLI-2698,1992767.90,2025-10-18
INV-3454,CLI-0692,1127201.16,2026-10-24
INV-7421,CLI-3980,929950.70,2025-06-19
INV-1216,CLI-0176,803964.94,2026-02-13
INV-3801,CLI-1921,903373.14,2025-06-05
INV-3163,CLI-3780,213102.67,2026-06-16
INV-4747,CLI-5228,498319.54,2026-08-05
INV-4345,CLI-4957,1576524.18,2026-10-18
INV-3049,CLI-3067,1399111.46,2026-12-01
INV-4286,CLI-0442,1093196.26,2026-07-31
INV-1863,CLI-1797,741141.16,2026-03-13
INV-6952,CLI-1745,1112829.87,29-06-2025
INV-1329,CLI-4106,-1529942.45,2025-12-02
INV-2253,CLI-1869,1712923.65,2025-07-05
INV-5480,CLI-0930,1241660.65,2026-06-29
INV-4882,CLI-3103,1299071.83,2026-04-17
INV-4174,CLI-3403,1632856.06,2026-10-09
INV-4028,CLI-0947,332515.26,2026-04-21
INV-3400,CLI-0813,1345945.02,2026-01-30
INV-3075,CLI-4159,897267.90,2026-11-15
INV-5786,CLI-0189,-1795768.06,2025-07-19
INV-2296,CLI-3031,1846865.31,2026-04-30
INV-5480,CLI-1375,1496274.24,2026-07-14
INV-7249,CLI-4276,673099.01,2026-04-17
INV-6030,CLI-4178,627229.95,2025-08-13
INV-3034,CLI-0638,1071596.47,2025-08-04
INV-7037,CLI-0830,"₹1,091,905.10",2026-05-23
INV-7196,CLI-0537,647150.89,
INV-2314,CLI-3546,1369106.53,2026-10-06
INV-7275,CLI-1765,1893693.11,2025-06-29
INV-6932,CLI-3173,1496828.37,2026-05-11
INV-1370,CLI-1536,1131592.15,2025-09-29
INV-4110,CLI-0070,1449094.81,2026-06-12
INV-4586,CLI-1679,1362248.42,2025-10-26
INV-4593,CLI-2233,100263.60,2025-09-27
INV-6292,CLI-2083,950853.68,2026-10-28
INV-4019,CLI-2975,"₹972,556.41",2026-11-12
INV-4486,CLI-2574,1393954.38,2026-10-21
INV-7351,CLI-2720,1150437.01,
INV-7307,CLI-2956,483264.94,2026-11-16
INV-2983,CLI-4317,1950536.74,2026-08-27
INV-4228,CLI-2708,210283.97,2026-01-14
INV-4888,CLI-2941,-475399.70,2025-11-18
INV-6361,CLI-4164,1316064.02,2025-11-25
INV-2505,CLI-4884,1950027.21,2026-03-14
INV-1997,CLI-2246,1032850.52,2026-08-30
INV-1116,CLI-2392,1359946.03,2026-05-13
INV-1945,CLI-5312,1531469.82,2025-12-18
INV-2377,CLI-0488,1985593.27,2026-06-30
INV-7163,CLI-1804,301261.64,02-05-2026
INV-2465,CLI-3161,1712482.26,2025-07-26
INV-2722,CLI-1188,888918.04,2026-10-11
INV-5716,CLI-2618,1074193.54,31-10-2026
INV-2937,CLI-2391,153533.74,2026-07-28
INV-4969,CLI-3458,246971.27,2026-09-25
INV-1583,CLI-3280,1490904.52,2026-11-10
INV-1260,CLI-2045,1140941.08,2026-08-22
INV-6013,CLI-0590,1036452.00,2026-03-23
INV-4530,CLI-0334,89085.91,2025-10-09
INV-1788,CLI-0483,98249.05,2025-10-02
INV-4143,CLI-4246,1328434.20,2025-10-24
INV-1979,CLI-3929,1156428.42,2025-10-30
INV-1131,CLI-4237,683071.58,2025-11-11
INV-2466,CLI-3078,1029297.46,2025-12-10
INV-1585,CLI-1543,770328.37,2025-06-16
INV-1401,CLI-3719,813496.04,2025-11-07
INV-7251,CLI-3578,758927.97,2026-02-08
INV-3176,CLI-4149,1639620.24,2026-01-27
INV-4161,CLI-3784,1435348.04,2025-09-29
INV-6338,CLI-0254,1848802.36,
INV-1616,CLI-0710,1933117.73,2025-07-13
INV-2252,CLI-0849,345208.58,2025-10-21
INV-2811,CLI-3145,454449.13,2026-11-12
INV-5613,CLI-0652,1600301.79,2025-08-24
INV-5573,CLI-3420,1222155.21,2026-05-18
INV-6178,CLI-0335,608784.99,2026-01-24
INV-7140,CLI-3957,,2026-02-24
INV-5683,CLI-2446,236704.64,2025-10-12
INV-6711,CLI-1069,626530.15,2026-05-02
INV-2695,CLI-4389,322964.37,2026-11-30
INV-6892,CLI-3709,1778115.87,2026-03-19
INV-4407,CLI-0280,,2026-10-22
INV-6654,CLI-1184,197033.28,2025-07-19
INV-4168,CLI-0481,382263.96,2025-07-01
INV-5530,CLI-4338,425765.28,2026-01-28
INV-1390,CLI-1114,648577.65,12-12-2025
INV-7044,CLI-4010,1846436.40,2026-12-06
INV-3143,CLI-1884,464057.34,2026-10-31
INV-5905,CLI-0243,1206831.13,2025-09-12
INV-2843,CLI-1657,1323180.24,2025-08-22
INV-5184,CLI-0751,807825.24,2026-06-30
INV-4519,CLI-0394,524430.13,2026-01-26
INV-3680,CLI-4048,1092579.55,2026-09-08
INV-2224,CLI-4114,139504.69,2026-03-01
INV-5548,CLI-2911,353506.41,2026-11-04
INV-2727,CLI-3322,1206030.68,2025-09-11
INV-5208,CLI-2543,605920.58,2026-05-03
INV-4605,CLI-3148,782656.94,2026-02-21
INV-1899,CLI-3647,1291465.18,20-11-2026
INV-5035,CLI-4044,903039.34,2025-10-04
INV-7363,CLI-4318,34477.52,2026-03-16
INV-3402,CLI-4875,1224258.26,2026-10-31
INV-1508,CLI-0677,771265.67,08-05-2026
INV-5192,CLI-2717,375949.47,2025-07-18
INV-1236,CLI-1302,206214.20,2025-10-10
INV-3950,CLI-4894,1895948.31,2026-03-10
INV-5877,CLI-3074,774438.30,2026-06-17
INV-5076,CLI-1460,-1682275.27,
INV-4772,CLI-1606,1591860.42,2026-08-25
INV-6379,CLI-2600,167277.51,2026-03-16
INV-4557,CLI-1046,232013.64,2026-02-26
INV-5234,CLI-2008,116547.92,2026-11-15
INV-2563,CLI-4306,441169.29,2026-01-29
INV-3907,CLI-1773,1896331.80,30-03-2026
INV-3512,CLI-3860,1525003.89,2026-03-17
INV-5479,CLI-1243,,
INV-3068,CLI-4337,1880778.73,2025-06-16
INV-4794,CLI-4256,1960852.16,2025-12-15
INV-5406,CLI-1449,1003103.86,2025-13-18
INV-3737,CLI-2348,1592336.80,2025-07-01
INV-3500,CLI-2919,1530139.36,2025-09-04
INV-5863,CLI-1417,419549.89,2026-01-08
INV-1270,CLI-2377,505705.25,2025-11-12
INV-1391,CLI-2895,1274041.39,2025-12-04
INV-6982,CLI-0456,957863.88,2025-06-16
INV-5085,CLI-0843,1559613.69,2025-09-21
INV-3855,CLI-0391,852857.52,2026-11-16
INV-4751,CLI-1172,1365981.08,2026-09-16
INV-5283,CLI-3544,192463.02,2025-08-25
INV-3024,CLI-3493,-1239887.78,11-07-2025
INV-4247,CLI-1817,1719430.97,2026-02-04
INV-4473,CLI-2307,1845892.02,2025-10-14
INV-4313,CLI-0408,1757070.38,2025-10-22
INV-5276,CLI-3114,983213.51,2026-09-11
INV-5084,CLI-3742,1933575.36,2026-03-24
INV-5897,CLI-1093,869514.44,2026-07-03
INV-4427,CLI-4256,1168097.16,2026-12-31
INV-2490,CLI-1707,1966854.98,2025-10-02
INV-5190,CLI-3898,1217553.42,2026-06-21
INV-4766,CLI-3015,1728569.19,2025-09-12
INV-4498,CLI-2945,765433.95,2025-09-06
INV-4461,CLI-1764,1091229.08,2026-05-02
INV-5365,CLI-1174,1814861.16,2026-01-27
INV-1606,CLI-3163,248689.63,2026-04-20
INV-7217,CLI-2977,1483220.60,2025-11-08
INV-7314,CLI-1136,1187687.30,2026-03-08
INV-1023,CLI-0342,559081.32,2026-10-01
INV-7288,CLI-0946,334618.45,2025-07-08
INV-4449,CLI-1022,58678.58,2026-09-10
INV-3703,CLI-2880,1177562.48,2025-09-20
INV-1013,CLI-0538,28913.91,2026-03-27
INV-1856,CLI-4617,1755628.00,2025-12-12
INV-5132,CLI-1953,355793.84,22-08-2025
INV-2393,CLI-3109,1411394.71,2025-11-17
INV-6725,CLI-0890,474212.73,2025-12-12
INV-6977,CLI-3993,623640.93,2025-10-10
INV-4565,CLI-2796,891641.18,2026-09-09
INV-6911,CLI-3746,1288955.00,2026-09-07
INV-2737,CLI-2672,1442260.55,2025-07-16
INV-6893,CLI-2211,1819000.45,2025-12-06
INV-2118,CLI-1328,1763071.56,2026-03-16
INV-1264,CLI-4920,223736.28,2026-08-27
INV-1439,CLI-3237,1526905.56,2026-09-07
INV-4095,CLI-4193,485718.00,2026-11-22
INV-6172,CLI-4741,177878.48,2026-01-18
INV-2913,CLI-0520,819137.62,2026-01-31
INV-5216,CLI-1784,125246.22,2026-09-15
INV-1783,CLI-4764,1614088.88,2026-09-11
INV-6673,CLI-0204,1713683.78,2026-04-13
INV-1881,CLI-1113,N/A,2025-09-08
